"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,7,1,22,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,3,1,60,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,1,40,1,0,1,"Erhvervsuddannelse",1,"DK"
9,5,1,51,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,0,56,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,8,1,57,1,0,0,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,73,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,6,0,41,0,1,1,"Lang videreg?ende",1,"DK"
4,8,1,29,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,46,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,1,41,1,0,1,"Lang videreg?ende",1,"DK"
NA,2,1,28,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,NA,0,16,0,0,1,"Gymnasium",0,"DK"
NA,8,0,31,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,42,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,1,50,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,68,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,7,1,65,1,0,0,"Kort/Mellemlang videreg?ende",0,"DK"
NA,3,1,69,1,0,1,"Gymnasium",0,"DK"
NA,7,0,39,1,1,1,"Lang videreg?ende",1,"DK"
NA,5,1,52,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,6,1,47,1,0,1,"Lang videreg?ende",1,"DK"
NA,NA,0,20,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,2,0,23,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,1,0,26,0,1,1,"Lang videreg?ende",0,"DK"
NA,5,0,24,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
6,6,0,43,1,0,1,"Gymnasium",1,"DK"
NA,3,1,26,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,31,1,0,0,"Gymnasium",0,"DK"
NA,9,1,45,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,17,0,0,1,"Gymnasium",0,"DK"
NA,5,1,62,1,1,1,"Lang videreg?ende",1,"DK"
NA,5,0,48,1,1,1,"Lang videreg?ende",1,"DK"
NA,8,0,43,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,37,1,0,0,"Gymnasium",1,"DK"
NA,5,1,38,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,1,39,0,1,0,"Lang videreg?ende",1,"DK"
7,1,0,38,1,0,0,"Kort/Mellemlang videreg?ende",1,"DK"
